title,rating,year,poster_path,overview
Influencer,6.2,2023,/mtXV301BF7pqwvRjsWhQo6sD10F.jpg,"Durante um mochilão solitário e complicado pela Tailândia, a influenciadora Madison encontra CW, que viaja com facilidade e mostra a ela um estilo de vida mais desinibido. Porém, o interesse de CW por Madison toma um rumo sombrio."
O Ritual,6.0,2025,/fQv7neaPTFjBzvKkysAA6FXDIz7.jpg,Dois padres — um questionando sua fé e outro dono de um passado conturbado — devem colocar de lado suas diferenças para tentar salvar uma jovem usando o exorcismo.
ZOMBIES 4: A Era dos Vampiros,7.0,2025,/7hkr3teBIjkgIYXTk0V36CThSVL.jpg,"Neste novo capítulo da franquia Zombies, o zumbi Zed e a líder de torcida Addison, juntamente com Eliza e a lobisomem Willa, se deparam com Victor (Vampiro) e Nova (Caminhante do Dia), inimigos mortais de lados opostos do Monte Rayburn que precisam forjar a paz em suas comunidades para conseguir sobreviver."
Pecadores,7.6,2025,/a9kYEboW1TQaeilGYUAx1MO0DUp.jpg,"Dispostos a deixar suas vidas conturbadas para trás, irmãos gêmeos retornam à sua cidade natal para recomeçar suas vidas do zero, quando descobrem que um mal ainda maior está à espera deles para recebê-los de volta."
Triplo X,5.9,2002,/lpmyeqSR2Pc7ytfTp1ScD3ferX4.jpg,"O ex-atleta de esportes extremos Xander ""XXX"" Cage, famoso por suas acrobacias que desafiam a morte, é convencido de que pode ter sucesso em ações que espiões convencionais falharam. Xander é recrutado pelo agente Gibbons para se tornar um tipo diferente de agente secreto. Agora, em uma perigosa missão, ele precisa usar todas as suas habilidades para combater um inimigo mortal."
Um Filme Minecraft,6.5,2025,/4VtkIaj76TpQNfhDHXQDdT9uBN5.jpg,"Quatro desajustados enfrentam problemas comuns do dia a dia quando, de repente, são sugados por um portal misterioso para o Overworld: uma terra fascinante e cúbica, movida pela imaginação. Para voltarem para casa, eles precisarão dominar esse novo mundo enquanto embarcam em uma jornada mágica ao lado de um crafter experiente e inesperado: Steve."
Madea e o Casamento nas Bahamas,5.0,2025,/46w5IBQahSTOkoIHF1jPKvbgRH6.jpg,"Com seus vestidos floridos e sempre causando, Madea acompanha a família Simmons em uma viagem às Bahamas para o casamento de sua sobrinha-neta."
Missão: Impossível - O Acerto Final,7.2,2025,/5izmRuuqPh9Uq1xJU1EizdUBi6b.jpg,"Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço."
Long Distance,6.3,2024,/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg,"A história acompanha um minerador de asteroides que, após um pouso forçado em um planeta alienígena, precisa atravessar um terreno acidentado, ficando sem oxigênio e sendo caçado por criaturas estranhas até encontrar o único sobrevivente."
Brick,5.8,2025,/73VFU1frjqS2XmSD8FCvADADf7M.jpg,"Após um misterioso muro cercar o prédio onde moram, Tim e Olivia precisam formar uma aliança com os vizinhos se quiserem escapar com vida."
